id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9183703376,5/13/2014,225000,3,1.5,1250,7500,1,0,0,3,7,1250,0,1967,0,98030,47.3719,-122.215,1260,7563
464000600,8/27/2014,641250,3,2.5,2220,2550,3,0,2,3,10,2220,0,1990,0,98117,47.6963,-122.393,2200,5610
2224079050,7/18/2014,810000,4,3.5,3980,209523,2,0,2,3,9,3980,0,2006,0,98024,47.5574,-121.89,2220,65775
6163901283,1/30/2015,330000,4,1.5,1890,7540,1,0,0,4,7,1890,0,1967,0,98155,47.7534,-122.318,1890,8515
6392003810,5/23/2014,530000,4,1.75,1814,5000,1,0,0,4,7,944,870,1951,0,98115,47.684,-122.281,1290,5000
7974200948,5/20/2014,953007,4,3.5,3120,5086,2,0,0,3,9,2480,640,2008,0,98115,47.6762,-122.288,1880,5092
2426059124,12/16/2014,1050000,4,3.25,4160,47480,2,0,0,3,10,4160,0,1995,0,98072,47.7266,-122.115,3400,40428
2115510300,10/16/2014,246000,3,2.25,1440,10500,1,0,0,3,8,1130,310,1983,0,98023,47.318,-122.391,1510,8125
2472920780,11/26/2014,395000,4,2.5,2250,6840,2,0,0,3,9,2250,0,1987,0,98058,47.4398,-122.151,2480,7386
7173700518,7/21/2014,690000,3,1.5,2540,9520,1,0,0,3,8,1500,1040,1959,0,98115,47.6834,-122.306,1870,6800
4307300520,4/23/2015,359000,4,2.5,2160,4500,2,0,0,3,7,2160,0,2002,0,98056,47.4819,-122.182,2160,4496
1823099076,8/20/2014,495000,3,2.5,1780,47480,2,0,0,3,7,1780,0,1995,0,98045,47.4723,-121.707,1890,51836
5634500036,8/20/2014,459000,5,2.5,2650,12987,1,0,0,4,7,1350,1300,1979,0,98028,47.7482,-122.244,2160,12726
3623059101,8/11/2014,420000,3,3,2700,47050,2,0,0,4,9,1570,1130,1986,0,98058,47.4446,-122.104,2260,45901
1102000270,7/1/2014,1080000,3,2.75,3890,7216,2,0,1,3,8,3260,630,1967,2010,98118,47.5445,-122.266,2490,9920
